category,month,count
cs.LO,2024-04,145
cs.LO,2024-05,170
cs.LO,2024-06,107
cs.LO,2024-07,116
cs.LO,2024-08,102
cs.LO,2024-09,61
cs.LO,2024-10,124
cs.LO,2024-11,109
cs.LO,2024-12,103
cs.LO,2025-01,149
cs.LO,2025-02,130
cs.LO,2025-03,108
cs.LO,2025-04,130
cs.LO,2025-05,175
cs.LO,2025-06,134
cs.LO,2025-07,166
cs.LO,2025-08,136
cs.LO,2025-09,128
cs.LO,2025-10,143
cs.LO,2025-11,136
cs.LO,2025-12,142
cs.LO,2026-01,154
cs.LO,2026-02,152
cs.LO,2026-03,175
cs.LO,2026-04,196
cs.LO,2026-05,261
cs.LO,2026-06,242
hep-th,2019-01,412
hep-th,2019-02,427
hep-th,2019-03,540
hep-th,2019-04,576
hep-th,2019-05,639
hep-th,2019-06,584
hep-th,2019-07,566
hep-th,2019-08,505
hep-th,2019-09,555
hep-th,2019-10,648
hep-th,2019-11,616
hep-th,2019-12,771
hep-th,2020-01,449
hep-th,2020-02,448
hep-th,2020-03,555
hep-th,2020-04,637
hep-th,2020-05,645
hep-th,2020-06,642
hep-th,2020-07,659
hep-th,2020-08,553
hep-th,2020-09,632
hep-th,2020-10,626
hep-th,2020-11,613
hep-th,2020-12,757
hep-th,2021-01,479
hep-th,2021-02,474
hep-th,2021-03,611
hep-th,2021-04,569
hep-th,2021-05,592
hep-th,2021-06,581
hep-th,2021-07,575
hep-th,2021-08,544
hep-th,2021-09,569
hep-th,2021-10,628
hep-th,2021-11,675
hep-th,2021-12,823
hep-th,2022-01,518
hep-th,2022-02,505
hep-th,2022-03,639
hep-th,2022-04,506
hep-th,2022-05,616
hep-th,2022-06,565
hep-th,2022-07,598
hep-th,2022-08,564
hep-th,2022-09,579
hep-th,2022-10,604
hep-th,2022-11,664
hep-th,2022-12,806
hep-th,2023-01,499
hep-th,2023-02,486
hep-th,2023-03,592
hep-th,2023-04,552
hep-th,2023-05,640
hep-th,2023-06,596
hep-th,2023-07,657
hep-th,2023-08,540
hep-th,2023-09,603
hep-th,2023-10,643
hep-th,2023-11,686
hep-th,2023-12,796
hep-th,2024-01,516
hep-th,2024-02,568
hep-th,2024-03,599
hep-th,2024-04,653
hep-th,2024-05,699
hep-th,2024-06,673
hep-th,2024-07,721
hep-th,2024-08,582
hep-th,2024-09,584
hep-th,2024-10,680
hep-th,2024-11,705
hep-th,2024-12,818
hep-th,2025-01,571
hep-th,2025-02,574
hep-th,2025-03,662
hep-th,2025-04,659
hep-th,2025-05,692
hep-th,2025-06,610
hep-th,2025-07,722
hep-th,2025-08,576
hep-th,2025-09,771
hep-th,2025-10,773
hep-th,2025-11,662
hep-th,2025-12,922
hep-th,2026-01,608
hep-th,2026-02,610
hep-th,2026-03,767
hep-th,2026-04,814
hep-th,2026-05,778
hep-th,2026-06,878
gr-qc,2019-01,366
gr-qc,2019-02,353
gr-qc,2019-03,433
gr-qc,2019-04,463
gr-qc,2019-05,507
gr-qc,2019-06,449
gr-qc,2019-07,466
gr-qc,2019-08,411
gr-qc,2019-09,413
gr-qc,2019-10,487
gr-qc,2019-11,454
gr-qc,2019-12,482
gr-qc,2020-01,378
gr-qc,2020-02,367
gr-qc,2020-03,469
gr-qc,2020-04,519
gr-qc,2020-05,516
gr-qc,2020-06,528
gr-qc,2020-07,558
gr-qc,2020-08,442
gr-qc,2020-09,494
gr-qc,2020-10,514
gr-qc,2020-11,479
gr-qc,2020-12,546
gr-qc,2021-01,415
gr-qc,2021-02,394
gr-qc,2021-03,522
gr-qc,2021-04,474
gr-qc,2021-05,573
gr-qc,2021-06,478
gr-qc,2021-07,494
gr-qc,2021-08,481
gr-qc,2021-09,501
gr-qc,2021-10,516
gr-qc,2021-11,558
gr-qc,2021-12,604
gr-qc,2022-01,459
gr-qc,2022-02,426
gr-qc,2022-03,550
gr-qc,2022-04,472
gr-qc,2022-05,566
gr-qc,2022-06,522
gr-qc,2022-07,513
gr-qc,2022-08,450
gr-qc,2022-09,503
gr-qc,2022-10,542
gr-qc,2022-11,545
gr-qc,2022-12,548
gr-qc,2023-01,495
gr-qc,2023-02,463
gr-qc,2023-03,526
gr-qc,2023-04,506
gr-qc,2023-05,601
gr-qc,2023-06,570
gr-qc,2023-07,613
gr-qc,2023-08,518
gr-qc,2023-09,541
gr-qc,2023-10,572
gr-qc,2023-11,556
gr-qc,2023-12,573
gr-qc,2024-01,511
gr-qc,2024-02,517
gr-qc,2024-03,526
gr-qc,2024-04,595
gr-qc,2024-05,629
gr-qc,2024-06,532
gr-qc,2024-07,649
gr-qc,2024-08,506
gr-qc,2024-09,522
gr-qc,2024-10,612
gr-qc,2024-11,586
gr-qc,2024-12,659
gr-qc,2025-01,505
gr-qc,2025-02,500
gr-qc,2025-03,575
gr-qc,2025-04,661
gr-qc,2025-05,609
gr-qc,2025-06,600
gr-qc,2025-07,666
gr-qc,2025-08,622
gr-qc,2025-09,703
gr-qc,2025-10,694
gr-qc,2025-11,650
gr-qc,2025-12,800
gr-qc,2026-01,573
gr-qc,2026-02,559
gr-qc,2026-03,686
gr-qc,2026-04,716
gr-qc,2026-05,727
gr-qc,2026-06,786
quant-ph,2019-01,572
quant-ph,2019-02,615
quant-ph,2019-03,622
quant-ph,2019-04,717
quant-ph,2019-05,757
quant-ph,2019-06,653
quant-ph,2019-07,772
quant-ph,2019-08,618
quant-ph,2019-09,761
quant-ph,2019-10,762
quant-ph,2019-11,701
quant-ph,2019-12,750
quant-ph,2020-01,648
quant-ph,2020-02,649
quant-ph,2020-03,781
quant-ph,2020-04,772
quant-ph,2020-05,765
quant-ph,2020-06,839
quant-ph,2020-07,811
quant-ph,2020-08,717
quant-ph,2020-09,784
quant-ph,2020-10,808
quant-ph,2020-11,833
quant-ph,2020-12,905
quant-ph,2021-01,652
quant-ph,2021-02,718
quant-ph,2021-03,999
quant-ph,2021-04,799
quant-ph,2021-05,884
quant-ph,2021-06,876
quant-ph,2021-07,884
quant-ph,2021-08,827
quant-ph,2021-09,827
quant-ph,2021-10,864
quant-ph,2021-11,930
quant-ph,2021-12,1035
quant-ph,2022-01,759
quant-ph,2022-02,795
quant-ph,2022-03,984
quant-ph,2022-04,808
quant-ph,2022-05,981
quant-ph,2022-06,867
quant-ph,2022-07,868
quant-ph,2022-08,909
quant-ph,2022-09,949
quant-ph,2022-10,959
quant-ph,2022-11,1003
quant-ph,2022-12,1001
quant-ph,2023-01,828
quant-ph,2023-02,858
quant-ph,2023-03,1076
quant-ph,2023-04,854
quant-ph,2023-05,1112
quant-ph,2023-06,999
quant-ph,2023-07,1029
quant-ph,2023-08,961
quant-ph,2023-09,995
